Year,AverageTemperature,MinimumTemperature,MaximumTemperature,Country
1880,26.661,24.211,28.081,Sri Lanka
1880,26.844,21.448,30.48,Sudan
1880,25.483,24.382,26.528,Suriname
1880,18.663,13.873,21.489,Swaziland
1880,2.153,-10.216,14.914,Sweden
1880,7.151,-5.67,17.437,Switzerland
1880,17.027,2.695,28.81,Syria
1880,4.406,-9.971,16.051,Tajikistan
1880,21.775,19.987,23.069,Tanzania
1880,25.616,22.325,27.788,Thailand
1880,25.606,24.069,27.434,Timor Leste
1880,26.496,24.89,28.482,Togo
1880,,,,Tonga
1880,25.193,23.979,25.985,Trinidad And Tobago
1880,19.856,9.006,30.182,Tunisia
1880,10.473,-3.683,22.701,Turkey
1880,14.363,-0.68,28.784,Turkmenistan
1880,26.443,23.886,28.702,Turks And Caicas Islands
1880,22.503,21.867,23.336,Uganda
1880,6.743,-9.073,20.728,Ukraine
1880,27.326,18.12,35.186,United Arab Emirates
1880,8.57,1.942,15.725,United Kingdom
1880,8.11,-4.767,20.85,United States
1880,16.574,10.999,22.935,Uruguay
1880,12.11,-3.648,27.164,Uzbekistan
1880,24.206,23.506,24.844,Venezuela
1880,23.194,18.823,26.581,Vietnam
1880,25.84,24.136,27.261,Virgin Islands
1880,25.858,19.814,30.662,Yemen
1880,20.468,16.804,23.695,Zambia
1880,20.413,15.69,24.027,Zimbabwe
1881,14.27,1.214,26.777,Afghanistan
1881,12.023,3.048,22.971,Albania
1881,23.462,12.023,33.984,Algeria
1881,,,,American Samoa
1881,11.327,2.253,21.561,Andorra
1881,20.94,17.538,22.713,Angola
1881,26.03,24.481,27.373,Antigua And Barbuda
1881,14.089,6.451,20.562,Argentina
1881,8.143,-4.916,20.802,Armenia
1881,27.368,25.497,29.173,Aruba
1881,7.074,-6.941,21.032,Asia
1881,21.793,13.629,28.166,Australia
1881,5.445,-7.555,17.488,Austria
1881,10.829,-1.243,22.636,Azerbaijan
1881,24.917,21.48,28.527,Bahamas
1881,26.267,16.463,35.035,Bahrain
1881,24.556,16.895,28.296,Bangladesh
1881,26.14,24.951,26.936,Barbados
1881,4.48,-10.065,17.701,Belarus
1881,8.826,-2.964,19.319,Belgium
1881,25.005,22.067,27.346,Belize
1881,27.086,24.356,30.509,Benin
1881,11.668,2.907,18.795,Bhutan
1881,20.581,17.216,23.076,Bolivia
1881,9.622,-1.761,20.98,Bosnia And Herzegovina
1881,21.336,13.968,27.037,Botswana
1881,24.435,22.782,25.291,Brazil
1881,25.903,24.091,27.456,British Virgin Islands
1881,9.408,-1.683,21.336,Bulgaria
1881,28.158,24.851,31.982,Burkina Faso
1881,23.446,17.782,26.693,Burma
1881,19.36,19.025,19.959,Burundi
1881,26.413,24.252,28.303,Cambodia
1881,23.952,22.515,25.898,Cameroon
1881,-5.477,-25.02,12.778,Canada
1881,23.785,21.386,26.756,Cape Verde
1881,26.603,24.356,29.004,Cayman Islands
1881,24.88,23.697,27.171,Central African Republic
1881,27.056,21.857,30.749,Chad
1881,8.942,4.067,13.2,Chile
1881,6.353,-8.159,20.261,China
1881,24.466,23.837,24.883,Colombia
1881,26.474,26.01,27.145,Comoros
1881,23.769,22.446,24.703,Congo
1881,23.128,22.326,23.692,Congo (Democratic Republic Of The)
1881,25.369,24.431,26.806,Costa Rica
1881,10.555,-1.546,22.544,Croatia
1881,25.187,22.665,27.881,Cuba
1881,18.601,11.028,27.725,Cyprus
1881,6.557,-7.02,18.769,Czech Republic
1881,25.942,23.951,28.277,Côte D'Ivoire
1881,6.337,-4.117,16.105,Denmark
1881,28.59,24.024,33.616,Djibouti
1881,25.726,24.337,26.794,Dominica
1881,25.078,23.129,27.058,Dominican Republic
1881,21.554,21.113,22.477,Ecuador
1881,22.93,14.364,30.049,Egypt
1881,24.797,23.62,26.538,El Salvador
1881,24.457,22.708,25.757,Equatorial Guinea
1881,26.981,23.06,29.52,Eritrea
1881,3.313,-10.489,16.173,Estonia
1881,23.015,21.197,24.833,Ethiopia
1881,5.701,0.42,9.999,Faroe Islands
1881,,,,Fiji
1881,-0.482,-16.159,13.893,Finland
1881,10.143,-0.347,20.536,France
1881,26.04,24.525,27.363,French Polynesia
1881,23.642,21.648,24.779,Gabon
1881,27.571,24.278,30.245,Gambia
1881,19.334,11.265,28.145,Gaza Strip
1881,7.595,-3.546,18.396,Georgia
1881,7.253,-5.621,18.794,Germany
1881,26.643,24.15,29.453,Ghana
1881,14.297,5.351,24.929,Greece
1881,-18.873,-33.002,-2.312,Greenland
1881,26.458,25.486,27.149,Grenada
1881,23.051,20.372,25.466,Guatemala
1881,25.651,23.234,28.126,Guinea
1881,26.744,24.342,29.145,Guinea Bissau
1881,25.717,24.678,26.92,Guyana
1881,25.783,23.995,28.072,Haiti
1881,24.575,22.619,27.054,Honduras
1881,22.254,15.209,27.466,Hong Kong
1881,8.498,-5.396,21.214,Hungary
1881,0.429,-7.815,7.298,Iceland
1881,23.678,16.505,29.857,India
1881,25.385,25.124,25.9,Indonesia
1881,17.763,5.843,29.105,Iran
1881,21.837,9.084,33.955,Iraq
1881,8.694,0.368,14.471,Ireland
1881,8.513,0.54,13.93,Isle Of Man
1881,19.831,11.992,28.25,Israel
1881,12.517,3.841,23.315,Italy
1881,25.526,23.608,27.615,Jamaica
1881,11.585,-0.189,24.742,Japan
1881,19.522,9.737,29.257,Jordan
1881,5.121,-15.269,22.876,Kazakhstan
1881,23.886,22.482,25.937,Kenya
1881,25.396,13.948,36.072,Kuwait
1881,3.318,-15.626,16.973,Kyrgyzstan
1881,23.334,18.269,26.82,Laos
1881,3.867,-10.125,16.563,Latvia
1881,17.594,9.523,26.735,Lebanon
1881,13.361,5.342,20.752,Lesotho
1881,25.367,23.728,27.056,Liberia
1881,22.53,13.095,30.027,Libya
1881,4.245,-7.613,15.945,Liechtenstein
1881,4.481,-9.538,16.73,Lithuania
1881,8.569,-3.547,19.655,Luxembourg
1881,22.021,14.613,27.574,Macau
1881,9.631,-1.155,21.591,Macedonia
1881,24.44,24.193,24.593,Madagascar
1881,22.127,19.387,23.723,Malawi
1881,25.465,24.584,25.997,Malaysia
1881,28.685,21.061,33.532,Mali
1881,18.674,12.659,26.292,Malta
1881,27.886,19.472,33.872,Mauritania
1881,,,,Mauritius
1881,20.331,13.006,25.431,Mexico
1881,7.423,-6.309,20.553,Moldova
1881,8.752,-1.951,20.707,Monaco
1881,-1.323,-22.014,18.683,Mongolia
1881,9.461,-1.257,21.125,Montenegro
1881,18.098,9.285,27.385,Morocco
1881,23.473,18.819,26.527,Mozambique
1881,19.87,13.89,24.33,Namibia
1881,14.63,5.073,21.181,Nepal
1881,8.23,-3.014,18.301,Netherlands
1881,22.353,19.678,25.322,New Caledonia
1881,10.368,5.778,15.383,New Zealand
1881,25.765,24.34,27.806,Nicaragua
1881,27.535,19.733,32.464,Niger
1881,26.545,24.482,29.853,Nigeria
1881,6.294,-11.758,21.612,North Korea
1881,-1.459,-12.688,9.543,Norway
1881,26.924,19.678,33.154,Oman
1881,20.733,9.825,29.501,Pakistan
1881,26.065,25.379,27.524,Panama
1881,22.87,17.151,27.288,Paraguay
1881,19.544,18.321,20.542,Peru
1881,25.813,24.233,27.02,Philippines
1881,6.185,-8.078,18.479,Poland
1881,15.161,7.815,23.137,Portugal
1881,24.987,22.986,26.705,Puerto Rico
1881,27.103,17.763,35.358,Qatar
1881,7.365,-5.724,19.711,Romania
1881,-6.035,-25.749,14.506,Russia
1881,18.57,18.136,18.923,Rwanda
1881,25.42,23.947,26.657,Saint Kitts And Nevis
1881,26.287,25.145,26.994,Saint Lucia
1881,26.209,24.466,27.598,Saint Martin
1881,26.425,25.384,27.064,Saint Vincent And The Grenadines
1881,,,,Samoa
1881,13.436,4.518,23.656,San Marino
1881,25.445,23.705,26.869,Sao Tome And Principe
1881,25.834,15.919,34.595,Saudi Arabia
1881,28.03,24.092,31.437,Senegal
1881,8.966,-3.242,20.946,Serbia
1881,26.54,25.901,27.544,Seychelles
1881,26.199,24.737,28.034,Sierra Leone
1881,26.549,25.68,27.305,Singapore
1881,26.209,24.466,27.598,Sint Maarten
1881,6.308,-7.351,18.636,Slovakia
1881,8.978,-3.593,21.163,Slovenia
1881,,,,Solomon Islands
1881,26.711,24.429,28.327,Somalia
1881,16.878,9.705,23.435,South Africa
1881,11.413,-3.702,25.3,South Korea
1881,14.027,5.571,23.835,Spain
1881,26.888,24.785,28.723,Sri Lanka
1881,27.119,22.5,30.535,Sudan
1881,25.991,24.987,27.338,Suriname
1881,18.464,12.219,23.924,Swaziland
1881,0.587,-13.654,13.139,Sweden
1881,6.664,-5.04,18.618,Switzerland
1881,17.776,6.536,29.327,Syria
1881,4.244,-12.275,16.987,Tajikistan
1881,22.25,21.891,22.881,Tanzania
1881,25.814,22.35,28.145,Thailand
1881,25.827,24.266,26.98,Timor Leste
1881,26.786,24.294,29.67,Togo
1881,,,,Tonga
1881,25.83,24.862,26.759,Trinidad And Tobago
1881,20.154,11.321,30.058,Tunisia
1881,11.097,0.728,22.764,Turkey
1881,14.96,-1.797,28.862,Turkmenistan
1881,26.271,23.738,29.046,Turks And Caicas Islands
1881,22.703,21.758,24.156,Uganda
1881,6.29,-7.815,19.795,Ukraine
1881,27.878,18.925,35.987,United Arab Emirates
1881,7.82,-1.303,15.056,United Kingdom
1881,8.644,-6.51,21.669,United States
1881,16.835,9.939,23.135,Uruguay
1881,12.486,-6.511,27.268,Uzbekistan
1881,24.696,24.05,25.956,Venezuela
1881,23.394,18.741,26.835,Vietnam
1881,25.903,24.091,27.456,Virgin Islands
1881,26.391,20.306,31.17,Yemen
1881,20.623,16.368,24.117,Zambia
1881,20.583,14.878,24.598,Zimbabwe
1882,13.434,0.475,25.622,Afghanistan
1882,12.52,2.862,22.198,Albania
1882,22.586,11.52,33.403,Algeria
1882,,,,American Samoa
1882,11.234,3.997,19.127,Andorra
1882,21.192,17.522,23.099,Angola
1882,25.865,24.066,27.485,Antigua And Barbuda
1882,14.148,6.987,20.879,Argentina
1882,7.949,-6.421,22.246,Armenia
1882,27.076,24.576,28.954,Aruba
1882,7.028,-7.695,20.714,Asia
1882,21.647,13.231,28.466,Australia
1882,6.431,-2.596,15.482,Austria
1882,10.717,-2.461,24.116,Azerbaijan
1882,25.044,22.297,28.188,Bahamas
1882,25.317,15.311,34.161,Bahrain
1882,24.755,18.771,28.213,Bangladesh
1882,25.915,24.683,26.782,Barbados
1882,6.662,-6.349,20.019,Belarus
1882,9.432,1.558,16.467,Belgium
1882,24.963,21.302,26.79,Belize
1882,26.646,24.536,29.522,Benin
1882,11.703,4.687,18.317,Bhutan
1882,20.267,16.678,22.466,Bolivia
1882,10.785,0.85,20.283,Bosnia And Herzegovina
1882,21.346,14.032,26.881,Botswana
1882,24.07,22.371,25.318,Brazil
1882,25.724,23.84,27.579,British Virgin Islands
1882,10.468,-0.694,21.777,Bulgaria
1882,27.648,24.433,30.958,Burkina Faso
1882,23.489,18.603,26.22,Burma
1882,19.525,18.329,20.6,Burundi
1882,26.306,23.677,28.382,Cambodia
1882,23.752,22.466,25.664,Cameroon
1882,-5.717,-25.107,11.97,Canada
1882,23.977,22.165,26.787,Cape Verde
1882,26.636,24.711,28.644,Cayman Islands
1882,24.717,22.851,26.96,Central African Republic
1882,26.431,20.609,30.625,Chad
1882,9.044,4.326,13.704,Chile
1882,6.398,-8.286,19.758,China
1882,24.02,23.395,24.555,Colombia
1882,,,,Comoros
1882,23.826,22.219,25.126,Congo
1882,23.183,22.023,24.289,Congo (Democratic Republic Of The)
1882,25.131,24.154,25.905,Costa Rica
1882,11.761,1.998,21.36,Croatia
1882,25.233,22.933,27.467,Cuba
1882,17.734,8.021,26.104,Cyprus
1882,7.969,-1.082,17.793,Czech Republic
1882,25.562,23.955,27.873,Côte D'Ivoire
1882,8.362,-1.047,17.01,Denmark
1882,28.468,24.155,32.621,Djibouti
1882,25.567,23.964,26.767,Dominica
1882,24.943,22.928,26.877,Dominican Republic
1882,21.191,20.405,22.156,Ecuador
1882,21.903,12.709,29.57,Egypt
1882,24.658,22.551,26.168,El Salvador
1882,24.291,22.327,25.833,Equatorial Guinea
1882,26.406,22.623,28.94,Eritrea
1882,5.694,-7.79,18.241,Estonia
1882,22.631,20.619,24.227,Ethiopia
1882,6.47,2.201,10.679,Faroe Islands
1882,,,,Fiji
1882,1.937,-12.389,16.017,Finland
1882,10.259,2.651,17.152,France
1882,26.027,25.086,26.976,French Polynesia
1882,23.609,21.355,25.077,Gabon
1882,27.33,24.433,30.19,Gambia
1882,18.539,8.474,26.973,Gaza Strip
1882,7.596,-5.122,19.869,Georgia
1882,8.317,-0.019,16.932,Germany
1882,26.237,24.231,28.816,Ghana
1882,14.253,4.291,24.357,Greece
1882,-20.541,-35.499,-2.979,Greenland
1882,26.168,25.227,26.947,Grenada
1882,22.943,19.584,24.626,Guatemala
1882,25.182,23.547,27.982,Guinea
1882,26.532,24.705,28.982,Guinea Bissau
1882,25.401,24.454,26.195,Guyana
1882,25.667,23.686,27.711,Haiti
1882,24.488,21.638,26.215,Honduras
1882,22.12,14.843,27.765,Hong Kong
1882,10.189,-0.628,21.153,Hungary
1882,0.065,-5.747,6.934,Iceland
1882,23.589,17.5,28.806,India
1882,25.305,24.889,25.917,Indonesia
1882,16.971,4.942,28.48,Iran
1882,21.09,7.564,34.044,Iraq
1882,9.318,3.483,14.31,Ireland
1882,9.399,5.024,14.095,Isle Of Man
1882,18.977,9.376,27.128,Israel
1882,12.803,5.035,21.346,Italy
1882,25.467,23.418,27.262,Jamaica
1882,11.74,1.804,23.928,Japan
1882,18.774,7.827,28.374,Jordan
1882,4.601,-12.664,22.281,Kazakhstan
1882,23.628,21.715,25.435,Kenya
1882,24.374,12.376,35.721,Kuwait
1882,2.253,-14.144,16.434,Kyrgyzstan
1882,23.269,18.607,26.912,Laos
1882,6.124,-7.147,18.726,Latvia
1882,16.902,6.515,25.694,Lebanon
1882,13.117,5.809,20.721,Lesotho
1882,25.018,23.655,26.875,Liberia
1882,21.646,12.141,29.431,Libya
1882,4.578,-3.652,12.693,Liechtenstein
1882,6.699,-5.449,18.822,Lithuania
1882,9.095,0.601,16.478,Luxembourg
1882,21.885,14.129,27.945,Macau
1882,10.251,-1.155,21.128,Macedonia
1882,,,,Madagascar
1882,19.79,16.743,23.274,Malawi
1882,25.518,24.531,26.064,Malaysia
1882,28.015,20.633,33.411,Mali
1882,18.112,11.19,24.454,Malta
1882,27.358,19.13,33.197,Mauritania
1882,,,,Mauritius
1882,20.17,14.629,24.854,Mexico
1882,9.443,-2.152,23.113,Moldova
1882,9.043,0.985,17.653,Monaco
1882,-0.913,-25.627,18.427,Mongolia
1882,10.354,-0.133,20.592,Montenegro
1882,17.32,9.555,26.009,Morocco
1882,22.963,18.799,26.441,Mozambique
1882,20.026,14.045,24.665,Namibia
1882,14.576,6.661,20.536,Nepal
1882,9.205,2.306,16.262,Netherlands
1882,22.198,19.482,25.608,New Caledonia
1882,10.048,5.441,14.231,New Zealand
1882,25.634,23.968,26.893,Nicaragua
1882,26.766,18.732,32.765,Niger
1882,26.152,23.358,28.759,Nigeria
1882,6.622,-8.999,20.865,North Korea
1882,0.328,-10.557,11.384,Norway
1882,26.389,20.115,32.474,Oman
1882,20.162,9.845,29.952,Pakistan
1882,26.738,25.867,27.159,Palau
1882,25.674,25.175,26.432,Panama
1882,23.925,23.048,25.347,Papua New Guinea
1882,22.518,16.805,27.102,Paraguay
1882,19.314,17.882,20.757,Peru
1882,26.064,24.404,27.316,Philippines
1882,8.11,-2.324,19.351,Poland
1882,14.23,8.221,21.602,Portugal
1882,24.802,22.666,26.661,Puerto Rico
1882,26.267,16.98,34.149,Qatar
1882,9.089,-2.4,21.132,Romania
1882,-5.762,-27.657,14.595,Russia
1882,18.708,17.602,19.49,Rwanda
1882,25.236,23.521,26.736,Saint Kitts And Nevis
1882,26.059,24.736,27.015,Saint Lucia
1882,26.051,24.21,27.773,Saint Martin
1882,26.177,24.903,27.159,Saint Vincent And The Grenadines
1882,,,,Samoa
1882,14.09,6.441,21.841,San Marino
1882,25.167,23.613,26.522,Sao Tome And Principe
1882,24.984,15.482,33.743,Saudi Arabia
1882,27.757,24.259,31.304,Senegal
1882,10.224,-1.049,20.878,Serbia
1882,,,,Seychelles
1882,25.721,24.216,27.969,Sierra Leone
1882,26.102,24.8,26.761,Singapore
1882,26.051,24.21,27.773,Sint Maarten
1882,8.078,-1.488,18.801,Slovakia
1882,10.046,0.758,19.3,Slovenia
1882,,,,Solomon Islands
1882,26.454,24.269,28.08,Somalia
1882,16.783,9.925,23.93,South Africa
1882,11.515,-0.946,23.918,South Korea
1882,13.359,5.944,22.239,Spain
1882,26.65,24.781,28.237,Sri Lanka
1882,26.557,21.475,29.984,Sudan
1882,25.713,24.943,26.65,Suriname
1882,18.22,12.624,23.935,Swaziland
1882,2.988,-10.119,14.895,Sweden
1882,6.922,-1.333,14.85,Switzerland
1882,17.24,4.821,28.899,Syria
1882,3.238,-12.557,16.787,Tajikistan
1882,,,,Tanzania
1882,25.685,22.293,27.983,Thailand
1882,25.762,23.703,26.988,Timor Leste
1882,26.378,24.443,28.934,Togo
1882,,,,Tonga
1882,25.489,24.553,26.334,Trinidad And Tobago
1882,19.525,10.155,28.712,Tunisia
1882,11.015,-1.434,23.179,Turkey
1882,14.257,-0.529,28.724,Turkmenistan
1882,26.237,23.816,28.888,Turks And Caicas Islands
1882,22.54,21.285,24.257,Uganda
1882,8.22,-3.918,22.334,Ukraine
1882,27.207,19.237,34.534,United Arab Emirates
1882,8.682,2.511,14.344,United Kingdom
1882,8.37,-3.498,20.368,United States
1882,16.349,9.718,23.057,Uruguay
1882,11.665,-4.778,27.001,Uzbekistan
1882,24.308,23.694,24.756,Venezuela
1882,23.332,19.106,26.961,Vietnam
1882,25.724,23.84,27.579,Virgin Islands
1882,25.843,19.931,30.179,Yemen
1882,20.657,16.221,23.331,Zambia
1882,20.494,15.014,24.279,Zimbabwe
1883,13.601,-0.321,26.481,Afghanistan
1883,11.932,2.663,22.412,Albania
1883,22.471,11.871,33.568,Algeria
1883,26.009,25.479,26.661,American Samoa
1883,10.628,2.527,19.194,Andorra
1883,21.172,18.315,22.682,Angola
1883,25.718,24.268,27.272,Antigua And Barbuda
1883,14.158,6.886,20.602,Argentina
1883,8.493,-8.586,22.799,Armenia
1883,27.358,25.519,29.089,Aruba
1883,6.931,-8.561,21.155,Asia
1883,21.521,14.28,28.022,Australia
1883,5.64,-3.767,15.375,Austria
1883,11.178,-4.51,25.269,Azerbaijan
1883,25.266,22.36,28.507,Bahamas
1883,25.901,15.796,34.394,Bahrain
1883,24.317,17.24,28.106,Bangladesh
1883,25.694,24.858,26.511,Barbados
1883,5.499,-9.574,18.532,Belarus
1883,9.244,1.226,16.745,Belgium
1883,24.783,21.985,26.609,Belize
1883,27.078,25.506,30.122,Benin
1883,11.329,3.235,18.358,Bhutan
1883,20.3,17.178,22.395,Bolivia
1883,9.793,-0.374,20.424,Bosnia And Herzegovina
1883,21.409,14.407,25.678,Botswana
1883,24.089,22.882,25.097,Brazil
1883,25.581,23.994,27.396,British Virgin Islands
1883,9.893,-2.146,21.793,Bulgaria
1883,28.117,24.241,31.948,Burkina Faso
1883,23.197,17.724,26.368,Burma
1883,19.432,18.611,20.389,Burundi
1883,26.091,23.491,28.397,Cambodia
1883,23.941,22.921,25.992,Cameroon
1883,-6.405,-25.878,11.818,Canada
1883,23.967,20.829,27.076,Cape Verde
1883,26.809,24.631,28.599,Cayman Islands
1883,24.713,23.553,27.112,Central African Republic
1883,26.474,20.55,30.589,Chad
1883,8.877,3.766,13.35,Chile
1883,6.027,-9.172,19.658,China
1883,23.938,23.442,24.514,Colombia
1883,,,,Comoros
1883,23.927,23.175,25.185,Congo
1883,23.155,22.628,23.811,Congo (Democratic Republic Of The)
1883,25.069,23.849,26.227,Costa Rica
1883,10.701,0.442,21.394,Croatia
1883,25.534,23.329,27.61,Cuba
1883,18.451,10.709,26.587,Cyprus
1883,7.11,-2.805,17.26,Czech Republic
1883,26.013,25.059,27.707,Côte D'Ivoire
1883,7.715,-0.983,17.106,Denmark
1883,28.304,24.251,32.582,Djibouti
1883,25.36,24.178,26.489,Dominica
1883,25.116,23.548,27.064,Dominican Republic
1883,20.941,20.335,21.559,Ecuador
1883,22.088,13.087,29.488,Egypt
1883,24.44,22.967,26.344,El Salvador
1883,24.588,23.315,25.984,Equatorial Guinea
1883,26.265,22.968,29.295,Eritrea
1883,4.843,-9.028,17.075,Estonia
1883,22.434,20.902,23.996,Ethiopia
1883,6.729,2.433,10.217,Faroe Islands
1883,24.378,22.732,26.262,Fiji
1883,2.102,-11.969,15.103,Finland
1883,9.853,2.626,17.808,France
1883,25.788,24.405,26.8,French Polynesia
1883,23.822,22.376,25.295,Gabon
1883,27.838,24.098,29.783,Gambia
1883,18.963,10.302,27.095,Gaza Strip
1883,8.056,-6.673,20.236,Georgia
1883,7.838,-1.252,16.819,Germany
1883,26.677,25.491,28.817,Ghana
1883,14.196,5.081,24.562,Greece
1883,-18.703,-33.744,-1.573,Greenland
1883,26.039,25.396,26.687,Grenada
1883,22.705,20.179,24.623,Guatemala
1883,25.822,23.632,28.4,Guinea
1883,27.061,24.407,28.769,Guinea Bissau
1883,25.271,24.579,25.973,Guyana
1883,26.006,24.442,28.115,Haiti
1883,24.36,21.942,26.589,Honduras
1883,21.842,14.654,27.729,Hong Kong
1883,8.945,-2.796,20.629,Hungary
1883,1.531,-2.919,8.149,Iceland
1883,23.341,15.32,29.436,India
1883,25.305,24.752,25.903,Indonesia
1883,17.475,3.69,29.678,Iran
1883,21.793,7.401,34.31,Iraq
1883,8.928,3.909,14.024,Ireland
1883,9.021,2.695,14.085,Isle Of Man
1883,19.33,10.986,27.189,Israel
1883,11.998,4.167,21.306,Italy
1883,26.018,24.496,27.5,Jamaica
1883,11.408,0.028,24.17,Japan
1883,19.151,8.716,28.358,Jordan
1883,4.556,-17.068,23.087,Kazakhstan
1883,23.49,21.686,25.416,Kenya
1883,26.189,25.061,27.182,Kiribati
1883,25.139,12.24,35.837,Kuwait
1883,2.382,-16.492,16.808,Kyrgyzstan
1883,22.993,17.814,26.776,Laos
1883,5.224,-8.396,17.42,Latvia
1883,17.451,8.324,25.93,Lebanon
1883,13.397,6.375,19.174,Lesotho
1883,25.571,24.747,26.728,Liberia
1883,21.604,12.098,29.909,Libya
1883,4.157,-4.46,12.938,Liechtenstein
1883,5.643,-7.004,17.357,Lithuania
1883,8.87,0.66,16.612,Luxembourg
1883,21.582,13.949,27.796,Macau
1883,9.706,-1.527,21.316,Macedonia
1883,,,,Madagascar
1883,20.545,17.187,23.235,Malawi
1883,25.401,24.293,26.142,Malaysia
1883,28.288,20.701,33.865,Mali
1883,17.698,12.185,25.067,Malta
1883,27.398,19.359,33.988,Mauritania
1883,,,,Mauritius
1883,20.118,13.661,24.954,Mexico
1883,8.267,-7.064,22.506,Moldova
1883,8.291,-0.179,17.559,Monaco
1883,-1.359,-22.015,17.58,Mongolia
1883,9.53,-0.902,20.791,Montenegro
1883,17.143,9.321,25.946,Morocco
1883,23.022,19.169,25.652,Mozambique
1883,19.973,14.38,23.555,Namibia
1883,14.308,5.223,21.039,Nepal
1883,8.969,0.551,16.334,Netherlands
1883,21.845,19.001,24.735,New Caledonia
1883,9.878,4.97,15.787,New Zealand
1883,25.593,24.005,27.319,Nicaragua
1883,26.963,18.475,33.027,Niger
1883,26.467,23.614,29.791,Nigeria
1883,6.312,-10.593,22.059,North Korea
1883,0.735,-8.375,11.093,Norway
1883,26.452,19.591,33.304,Oman
1883,20.083,8.809,30.318,Pakistan
1883,26.658,25.708,27.133,Palau
1883,25.525,24.56,26.302,Panama
1883,23.863,23.319,24.497,Papua New Guinea
1883,22.606,17.704,26.316,Paraguay
1883,19.187,18.05,20.148,Peru
1883,25.954,24.295,27.422,Philippines
1883,6.938,-4.629,18.469,Poland
1883,13.719,7.008,22.071,Portugal
1883,24.78,22.877,26.66,Puerto Rico
1883,26.684,17.375,34.888,Qatar
1883,7.966,-5.205,20.672,Romania
1883,-5.847,-27.24,15.311,Russia
1883,18.61,17.67,19.264,Rwanda
1883,25.164,23.797,26.634,Saint Kitts And Nevis
1883,25.888,25.015,26.786,Saint Lucia
1883,25.823,24.351,27.524,Saint Martin
1883,26.049,25.262,26.935,Saint Vincent And The Grenadines
1883,25.716,25.174,26.234,Samoa
1883,13.176,5.32,21.769,San Marino
1883,25.613,24.724,27.108,Sao Tome And Principe
1883,25.322,15.43,33.577,Saudi Arabia
1883,28.316,23.966,30.7,Senegal
1883,9.26,-2.289,20.874,Serbia
1883,,,,Seychelles
1883,26.331,25.012,27.824,Sierra Leone
1883,25.999,25.234,27.003,Singapore
1883,25.823,24.351,27.524,Sint Maarten
1883,6.771,-4.264,17.946,Slovakia
1883,9.024,-1.03,19.315,Slovenia
1883,,,,Solomon Islands
1883,26.33,24.606,27.663,Somalia
1883,16.909,10.12,22.633,South Africa
1883,11.439,-2.336,25.199,South Korea
1883,12.812,4.423,22.726,Spain
1883,26.461,24.368,27.978,Sri Lanka
1883,26.456,21.607,29.952,Sudan
1883,25.537,24.652,26.48,Suriname
1883,18.44,13.225,22.477,Swaziland
1883,3.004,-8.462,14.906,Sweden
1883,6.423,-1.797,15.028,Switzerland
1883,17.832,5.066,29.284,Syria
1883,3.443,-13.886,17.251,Tajikistan
1883,,,,Tanzania
1883,25.491,21.816,28.306,Thailand
1883,25.956,24.66,27.307,Timor Leste
1883,26.807,25.551,29.203,Togo
1883,22.661,20.281,25.389,Tonga
1883,25.471,24.796,26.074,Trinidad And Tobago
1883,19.192,10.503,29.66,Tunisia
1883,11.428,-1.572,23.295,Turkey
1883,14.499,-3.033,30.488,Turkmenistan
1883,26.402,24.142,29.075,Turks And Caicas Islands
1883,22.412,21.434,23.815,Uganda
1883,7.141,-9.265,21.389,Ukraine
1883,27.422,18.683,35.173,United Arab Emirates
1883,8.348,2.158,14.3,United Kingdom
1883,7.942,-6.158,20.922,United States
1883,16.652,11.009,22.937,Uruguay
1883,11.82,-7.385,28.153,Uzbekistan
1883,24.33,23.779,25.378,Venezuela
1883,23.059,18.249,26.85,Vietnam
1883,25.581,23.994,27.396,Virgin Islands
1883,25.793,20.191,30.642,Yemen
1883,20.652,16.779,23.842,Zambia
1883,20.578,15.406,23.769,Zimbabwe
1884,13.382,2.177,25.911,Afghanistan
1884,11.822,2.255,21.327,Albania
1884,22.081,11.197,33.018,Algeria
1884,25.667,24.907,26.148,American Samoa
1884,10.904,3.16,19.871,Andorra
1884,20.96,17.493,22.639,Angola
1884,25.671,23.826,27.557,Antigua And Barbuda
1884,14.117,6.024,21.748,Argentina
1884,7.809,-5.848,20.181,Armenia
1884,27.167,24.787,29.219,Aruba
1884,6.652,-6.855,20.739,Asia
1884,21.55,13.102,28.08,Australia
1884,6.172,-1.918,16.447,Austria
1884,10.587,-1.144,22.443,Azerbaijan
1884,24.823,21.129,28.525,Bahamas
1884,25.5,16.24,34.127,Bahrain
1884,24.171,17.174,28.068,Bangladesh
1884,25.716,24.459,26.943,Barbados
1884,5.712,-3.914,17.923,Belarus
1884,9.907,2.926,18.725,Belgium
1884,24.515,20.666,26.554,Belize
1884,27.246,24.936,29.537,Benin
1884,11.145,3.329,18.243,Bhutan
1884,20.199,16.033,21.903,Bolivia
1884,9.868,0.299,20.119,Bosnia And Herzegovina
1884,21.151,13.065,26.432,Botswana
1884,23.964,22.373,24.774,Brazil
1884,25.632,23.729,27.565,British Virgin Islands
1884,9.712,-1.518,19.912,Bulgaria
1884,28.367,24.133,31.364,Burkina Faso
1884,22.976,17.475,25.872,Burma
1884,19.226,18.541,20.387,Burundi
